Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Pesticide_Use_KG_per_HA;Fertilizer_Use_KG_per_HA;Soil_Health_Index;Adaptation_Strategies;Economic_Impact_Million_USD
2016;China;Central;Soybeans;24.82;2327.73;18.26;2.115;6;85.58;41.13;45.35;51.7;Water Management;278.69
2024;Nigeria;South East;Barley;17.13;1066.37;17.01;3.411;4;13.23;46.25;20.59;62.33;Crop Rotation;373.69
2022;Australia;Victoria;Barley;6.66;2314.03;18.86;1.449;6;79.25;26.65;38.36;42.49;Organic Farming;237.46
2018;USA;West;Cotton;31.92;1694.55;25.29;1.9620000000000002;1;77.56;9.84;19.6;93.76;No Adaptation;671.04
2024;Brazil;Northeast;Cotton;31.93;374.67;5.12;2.259;8;58.86;3.13;70.26;31.97;No Adaptation;708.33
2024;Australia;Western Australia;Cotton;-3.31;1560.5;6.98;1.45;2;69.08;10.04;94.86;40.99;Drought-resistant Crops;574.52
2016;China;Central;Rice;9.6;2159.12;2.3;2.71;9;88.06;9.94;23.1;32.32;No Adaptation;967.3
2014;USA;South;Cotton;24.17;829.01;4.72;1.21;0;56.37;16.48;18.06;40.02;Organic Farming;526.7
2018;Australia;Western Australia;Cotton;33.54;2429.78;28.75;1.161;4;19.24;6.03;31.72;66.14;Organic Farming;453.84
2024;Brazil;Northeast;Vegetables;18.66;2056.69;22.62;3.6630000000000003;5;97.5;34.35;48.55;99.86;Drought-resistant Crops;1727.05
2020;Brazil;South;Wheat;10.27;1782.92;27.7;3.825;0;62.88;32.68;28.46;30.04;Crop Rotation;478.81
2022;China;Central;Wheat;12.07;1689.04;27.15;2.538;8;78.66;13.41;58.64;62.41;Organic Farming;984.07
2014;Australia;Queensland;Fruits;21.53;396.7;26.97;3.3480000000000003;3;95.32;48.62;60.27;66.2;Drought-resistant Crops;672.88
2024;Russia;Volga;Rice;21.32;1591.81;19.16;1.26;0;71.04;8.09;51.05;45.34;Crop Rotation;444.58
2018;Russia;Central;Coffee;18.74;1513.0;10.85;4.9;3;73.57;3.53;35.05;83.95;Crop Rotation;2200.79
2018;China;East;Cotton;27.45;1996.13;20.55;2.9160000000000004;4;40.77;18.0;91.55;79.77;Water Management;547.31
2018;Brazil;Northeast;Fruits;14.79;2613.62;26.29;2.196;8;75.7;33.83;64.82;98.49;Drought-resistant Crops;1087.62
2018;Russia;Siberian;Cotton;22.48;2899.26;14.28;0.87;0;28.79;0.4;35.38;61.37;Drought-resistant Crops;117.01
2024;Russia;Central;Barley;33.41;2135.98;17.67;2.493;2;30.74;16.75;16.74;43.2;Crop Rotation;387.85
2016;Australia;Victoria;Sugarcane;9.45;2094.43;14.61;1.14;6;68.33;14.01;26.04;58.12;Water Management;439.66
2014;Australia;Queensland;Rice;0.45;1721.56;5.78;1.05;0;13.47;17.71;0.29;92.52;Water Management;462.39
2018;Australia;Queensland;Sugarcane;33.04;364.49;20.05;765;7;46.14;35.64;15.56;88.18;No Adaptation;185.66
2014;USA;West;Wheat;8.97;1588.99;2.64;1.94;3;47.19;13.85;70.99;60.88;Organic Farming;497.56
2020;Nigeria;North Central;Vegetables;19.8;2321.02;13.7;3.02;9;65.03;1.36;65.74;65.83;Drought-resistant Crops;948.58
2020;China;South;Cotton;29.82;2690.69;27.16;2.871;1;18.93;38.07;5.12;30.64;Organic Farming;1181.71
2022;USA;South;Coffee;4.17;2488.56;14.72;2.51;2;84.9;3.43;80.52;37.2;Organic Farming;339.2
2020;Brazil;Northeast;Cotton;-4.4;2744.13;17.37;0.9450000000000001;0;24.21;16.54;37.89;52.4;Drought-resistant Crops;349.94
2020;China;South;Cotton;11.26;955.41;26.09;3.9600000000000004;2;73.5;31.81;73.68;39.7;No Adaptation;1779.78
2020;Australia;Queensland;Vegetables;9.71;272.15;26.21;1.053;4;28.84;32.6;38.66;44.21;Water Management;415.5
2018;Brazil;South;Rice;3.15;584.39;26.7;1.845;7;15.86;4.89;38.13;39.79;Drought-resistant Crops;772.95
2024;USA;Northeast;Rice;27.46;1169.7;29.39;1.4669999999999999;3;61.35;0.89;93.41;93.39;Crop Rotation;466.84
2022;Brazil;North;Cotton;1.46;2488.69;1.05;1.33;3;78.97;37.76;12.71;88.91;No Adaptation;236.44
2018;Australia;Queensland;Vegetables;30.31;2245.84;6.86;0.86;9;63.97;7.8;9.15;46.86;Water Management;183.65
2020;USA;Midwest;Vegetables;3.27;1595.53;9.34;2.26;9;69.6;13.36;11.84;30.33;Drought-resistant Crops;861.83
2018;Brazil;North;Wheat;34.84;320.88;18.75;3.483;10;50.49;16.71;93.25;72.3;No Adaptation;923.84
2018;Russia;Central;Coffee;28.89;1578.24;16.1;765;6;86.16;22.26;48.66;52.52;No Adaptation;240.67
2024;Brazil;South;Cotton;16.04;731.59;7.35;4.12;5;53.5;17.03;22.81;75.45;Organic Farming;459.4
2020;USA;Northeast;Wheat;33.7;1332.34;7.64;1.19;5;29.8;19.18;9.29;57.57;Crop Rotation;232.31
2016;China;East;Wheat;8.94;1988.73;25.92;1.341;5;98.54;6.99;52.33;77.63;Water Management;273.55
2018;China;North;Corn;5.65;1431.49;22.76;0.8190000000000001;7;94.1;9.57;57.77;89.5;Crop Rotation;397.62
2024;Australia;New South Wales;Fruits;19.11;1421.68;18.94;3.5370000000000004;3;75.64;39.22;90.61;78.57;Drought-resistant Crops;928.9
2024;Russia;Central;Coffee;9.83;2364.11;25.25;1.566;5;92.86;29.52;47.14;98.12;Crop Rotation;287.65
2014;China;East;Barley;20.64;2141.7;28.08;3.132;5;18.43;5.75;60.87;69.78;Crop Rotation;853.86
2022;USA;Midwest;Sugarcane;-4.14;2380.88;12.94;1.66;0;28.93;1.04;32.02;32.23;Water Management;210.81
2020;Nigeria;South East;Wheat;22.63;748.11;16.39;1.683;8;50.25;31.66;95.45;89.43;Water Management;202.94
2014;Brazil;Southeast;Corn;28.46;1281.74;1.12;1.58;4;57.34;42.5;35.87;80.24;Organic Farming;668.98
2024;Brazil;North;Cotton;11.94;344.09;21.56;1.395;0;10.71;38.5;17.22;45.63;Water Management;584.14
2016;Australia;New South Wales;Cotton;15.95;1127.5;3.17;3.22;9;44.28;44.02;61.44;89.2;Water Management;498.45
2022;USA;Northeast;Barley;-0.16;2429.07;29.08;1.125;1;10.12;0.76;43.84;44.31;No Adaptation;345.78
2018;Brazil;South;Cotton;7.03;2848.8;28.58;2.358;6;72.77;19.84;8.59;66.96;Drought-resistant Crops;1157.98
2024;Nigeria;South East;Soybeans;-0.38;2350.41;24.58;2.178;7;66.02;37.53;17.31;97.32;No Adaptation;744.72
2014;USA;West;Corn;10.94;1439.58;26.06;1.935;4;58.01;41.95;58.72;79.03;No Adaptation;217.87
2020;China;North;Sugarcane;30.22;1330.95;18.86;0.9;1;54.23;25.08;81.28;89.49;Water Management;418.33
2018;China;Central;Rice;11.54;2884.58;25.65;2.394;0;20.92;33.95;28.11;57.66;Organic Farming;1168.31
2020;Australia;Queensland;Fruits;0.93;2603.79;10.46;1.01;9;90.75;27.85;64.5;97.85;Drought-resistant Crops;159.48
2020;USA;West;Sugarcane;29.64;1504.88;29.46;2.529;2;13.46;48.78;82.58;69.0;Crop Rotation;604.1
2022;Nigeria;South East;Rice;-1.0;1834.79;14.96;0.53;10;88.28;24.23;86.92;74.25;No Adaptation;143.88
2024;Australia;Victoria;Cotton;32.89;870.49;29.32;1.9620000000000002;6;22.22;11.5;6.68;78.66;No Adaptation;357.57
2022;China;North;Cotton;3.47;763.79;11.06;1.8;2;21.77;2.6;97.46;45.95;Drought-resistant Crops;881.06
2024;Russia;Volga;Sugarcane;17.28;1876.84;24.39;2.538;9;29.26;6.56;88.18;94.56;Drought-resistant Crops;761.5
2024;Australia;New South Wales;Soybeans;28.43;604.4;24.09;864;3;43.36;10.75;32.23;56.35;Crop Rotation;197.82
2014;USA;South;Barley;-0.56;910.32;17.6;1.593;7;82.02;48.4;48.74;56.08;Organic Farming;262.1
2016;China;South;Barley;28.08;1960.38;12.83;2.42;4;41.08;23.78;41.8;64.31;Water Management;1094.87
2020;Australia;New South Wales;Soybeans;34.14;1696.94;10.68;3.83;2;60.1;42.36;41.39;55.02;Drought-resistant Crops;1897.47
2024;Australia;Victoria;Cotton;1.02;782.84;23.38;1.773;5;46.78;6.77;65.83;97.1;Water Management;428.31
2014;Brazil;South;Fruits;6.56;2451.44;3.87;2.0;6;26.33;10.03;32.82;61.32;Drought-resistant Crops;932.12
2016;USA;Midwest;Rice;14.16;2976.15;16.61;3.204;4;87.72;30.0;20.13;71.71;Crop Rotation;1023.42
2018;Australia;Victoria;Vegetables;25.22;2824.28;9.8;0.9;1;29.61;45.86;34.14;41.63;Water Management;265.4
2022;Russia;Siberian;Soybeans;1.01;1750.19;1.73;1.32;10;83.6;23.42;96.99;55.61;Water Management;425.6
2014;USA;West;Corn;31.04;2440.29;27.54;2.511;9;57.43;7.26;75.22;64.29;Drought-resistant Crops;460.39
2024;Brazil;Southeast;Sugarcane;16.49;230.35;10.54;2.1510000000000002;0;39.56;4.42;89.38;40.63;No Adaptation;760.03
2018;Russia;Volga;Corn;32.93;2920.8;6.01;3.33;5;12.31;49.05;71.29;73.31;Organic Farming;1609.16
2024;Brazil;North;Soybeans;29.68;1142.36;12.95;3.76;1;96.21;10.4;53.48;41.17;Crop Rotation;1623.53
2020;Australia;New South Wales;Sugarcane;13.19;1075.5;13.02;2.8;4;27.58;19.32;17.33;86.09;Drought-resistant Crops;963.11
2014;Russia;Siberian;Sugarcane;9.45;2824.79;3.47;1.78;3;89.44;46.55;24.73;53.44;No Adaptation;776.17
2020;USA;Northeast;Barley;26.61;1469.19;19.82;2.124;8;76.32;16.87;23.48;97.6;Crop Rotation;404.0
2014;USA;West;Vegetables;-1.11;1693.36;0.81;0.57;9;40.65;3.45;46.78;53.51;Organic Farming;91.04
2018;USA;South;Coffee;12.57;2624.98;18.54;4.167;6;83.19;20.4;44.5;91.69;Organic Farming;913.13
2020;Australia;New South Wales;Corn;4.2;2014.34;27.31;2.61;4;44.4;41.31;57.22;47.41;Organic Farming;323.47
2018;Australia;Queensland;Rice;1.08;1881.28;28.31;1.863;9;66.69;12.29;16.45;93.65;Organic Farming;417.07
2014;Russia;Siberian;Rice;20.54;2467.88;21.92;3.042;5;58.66;34.78;38.63;66.65;Drought-resistant Crops;751.35
2018;USA;Northeast;Rice;14.03;2323.3;5.44;4.28;1;85.88;24.22;29.09;81.21;Organic Farming;1869.04
2022;China;South;Coffee;0.52;335.25;13.46;2.178;0;11.79;7.28;47.67;64.61;Drought-resistant Crops;955.29
2020;USA;Northeast;Cotton;26.96;1679.2;5.14;2.65;5;84.84;43.92;41.56;92.48;Water Management;659.97
2022;Brazil;Northeast;Cotton;32.49;1859.75;28.03;2.8800000000000003;5;75.18;11.41;53.93;60.01;Drought-resistant Crops;1328.99
2020;Nigeria;South East;Rice;23.64;1892.69;8.43;3.56;8;73.05;32.4;0.37;35.52;Drought-resistant Crops;1525.11
2016;Nigeria;North Central;Corn;31.9;1197.21;12.93;3.06;9;16.04;18.96;50.18;39.49;Drought-resistant Crops;318.04
2018;Australia;Queensland;Fruits;13.12;1538.19;16.76;2.2769999999999997;5;39.34;28.29;38.45;37.01;Drought-resistant Crops;613.26
2016;Russia;Siberian;Soybeans;18.14;1858.13;10.03;4.76;3;89.75;19.3;87.16;59.3;Organic Farming;1103.43
2020;Brazil;Northeast;Vegetables;27.78;708.79;21.69;2.4120000000000004;0;25.94;37.34;9.29;48.73;No Adaptation;614.24
2016;USA;Northeast;Corn;33.59;1069.59;3.32;3.77;3;75.75;39.99;94.38;61.48;Crop Rotation;1273.74
2024;USA;West;Barley;-0.66;2376.99;20.52;2.2230000000000003;1;90.56;22.48;8.93;93.07;No Adaptation;341.48
2020;USA;Northeast;Barley;-4.56;2907.56;13.5;1.46;7;89.73;40.95;53.04;37.72;Water Management;388.05
2022;Nigeria;South East;Barley;26.52;643.44;24.48;1.269;0;61.75;47.9;54.14;59.31;Drought-resistant Crops;576.03
2022;Australia;Victoria;Corn;21.23;1546.03;2.18;2.93;3;43.77;39.05;65.31;77.63;Crop Rotation;389.2
2018;Russia;Northwestern;Cotton;16.31;1763.49;6.12;2.0;2;63.39;7.7;2.42;43.24;Drought-resistant Crops;437.96
2016;USA;West;Corn;3.88;1951.14;10.0;1.44;10;32.87;37.11;64.67;44.83;Drought-resistant Crops;263.94
2024;Brazil;Northeast;Barley;27.41;396.84;18.45;3.159;0;64.28;44.92;95.99;79.72;Crop Rotation;1469.67
2024;Brazil;North;Sugarcane;7.02;2217.62;3.4;1.35;9;39.63;12.27;42.89;84.33;Drought-resistant Crops;443.14
2024;Russia;Central;Fruits;-1.98;1643.83;19.78;0.8190000000000001;1;80.06;22.81;72.29;59.5;Crop Rotation;101.98
2022;Brazil;North;Fruits;12.88;1304.68;21.67;2.421;5;72.06;49.81;26.21;55.81;Water Management;970.06
2014;USA;West;Wheat;25.19;688.64;21.34;3.1410000000000005;1;44.68;14.67;13.54;87.48;No Adaptation;748.57
2018;Australia;New South Wales;Corn;4.32;554.33;23.47;2.556;0;91.52;13.24;58.22;65.89;Crop Rotation;881.27
2014;Australia;New South Wales;Soybeans;26.56;1870.65;10.49;1.03;2;15.95;1.35;72.87;94.42;Water Management;126.79
2018;China;South;Wheat;20.06;1202.44;26.94;3.339;2;42.68;34.73;14.45;55.37;Organic Farming;1296.43
2020;Brazil;Southeast;Wheat;-1.08;2056.02;29.65;2.682;6;15.39;38.29;48.51;38.27;Drought-resistant Crops;478.01
2024;Australia;New South Wales;Corn;16.21;2428.05;19.43;2.4120000000000004;1;54.9;32.69;12.32;59.73;No Adaptation;274.05
2014;Brazil;Northeast;Wheat;-4.94;2072.54;7.58;1.09;4;57.31;15.75;35.7;45.75;Organic Farming;354.5
2018;China;East;Coffee;8.53;2434.59;17.65;1.035;0;99.7;7.0;24.28;48.78;Organic Farming;428.74
2024;Nigeria;South West;Coffee;-1.43;2390.42;16.52;675;3;73.3;15.81;86.75;97.52;Drought-resistant Crops;114.96
2024;USA;Midwest;Barley;26.66;898.57;16.8;2.898;7;74.5;9.26;46.49;70.86;Crop Rotation;984.35
2014;Nigeria;North West;Sugarcane;-0.68;1270.58;7.09;2.93;1;10.82;1.55;29.7;37.58;Water Management;901.9
2022;Australia;New South Wales;Wheat;9.96;1091.31;18.92;774;9;32.36;34.38;99.52;33.39;Crop Rotation;178.9
2022;Australia;Western Australia;Rice;14.93;2953.54;3.66;2.11;2;92.94;3.15;94.48;65.31;No Adaptation;889.77
2014;Russia;Siberian;Wheat;17.85;2377.78;13.0;3.44;9;32.25;0.16;27.17;94.87;Water Management;1108.77
2014;Russia;Siberian;Corn;-3.44;1528.69;15.08;783;3;59.09;40.59;30.23;88.99;No Adaptation;301.06
2020;Russia;Siberian;Coffee;12.38;596.13;27.64;1.9620000000000002;7;94.44;11.7;12.48;71.73;Drought-resistant Crops;812.97
2014;USA;West;Cotton;3.45;617.32;20.53;2.097;1;95.6;7.23;29.91;96.98;Drought-resistant Crops;309.67
2020;Brazil;North;Soybeans;23.28;2170.17;23.52;2.2230000000000003;0;62.77;13.01;20.97;80.96;Organic Farming;682.22
2020;Australia;New South Wales;Rice;3.33;2823.76;8.24;1.92;9;48.61;39.25;4.75;95.39;No Adaptation;243.54
2016;Nigeria;South East;Vegetables;20.89;1710.17;14.74;3.78;7;11.55;16.87;47.93;80.75;Water Management;522.28
2018;Russia;Northwestern;Corn;32.04;1742.68;13.87;3.94;6;63.46;16.47;43.07;43.6;Crop Rotation;1597.14
2022;USA;Midwest;Vegetables;18.92;740.66;16.4;2.475;4;27.51;5.5;20.49;62.97;Crop Rotation;448.36
2016;Brazil;Northeast;Corn;-2.75;2838.43;13.91;1.9;3;47.04;29.17;40.28;48.99;No Adaptation;262.85
2014;Australia;Queensland;Vegetables;17.44;304.0;19.73;3.7710000000000004;9;22.97;25.41;3.25;67.8;No Adaptation;1164.61
2018;USA;Northeast;Sugarcane;30.86;1723.81;23.63;1.341;8;55.61;29.12;31.35;30.4;Drought-resistant Crops;625.98
2022;Nigeria;South West;Sugarcane;19.59;2514.47;10.47;4.8;0;44.06;13.21;15.07;91.73;No Adaptation;1676.41
2016;Nigeria;South West;Soybeans;24.52;971.38;25.32;1.602;5;88.79;26.55;44.37;34.75;Drought-resistant Crops;488.78
2018;USA;West;Coffee;2.67;489.64;28.4;2.034;3;74.25;36.92;23.76;82.23;Water Management;840.24
2016;Brazil;Southeast;Coffee;-2.34;1062.84;14.94;2.19;6;91.15;11.16;90.48;64.6;Water Management;551.59
2024;China;South;Coffee;28.01;2720.88;11.76;3.72;9;92.86;36.34;53.4;94.67;Crop Rotation;596.23
2014;Nigeria;North West;Vegetables;29.84;1125.87;25.9;3.384;7;26.1;21.26;93.93;92.74;No Adaptation;1246.28
2016;Nigeria;North Central;Vegetables;27.66;940.42;8.86;2.5;10;60.67;47.78;83.79;89.87;Water Management;396.5
2024;Russia;Siberian;Soybeans;-2.01;268.86;1.24;1.584;8;30.97;22.06;29.25;36.17;Organic Farming;763.99
2024;Nigeria;North West;Rice;0.7;472.59;11.18;2.205;2;62.78;13.39;87.69;98.47;Organic Farming;648.51
2024;Russia;Volga;Coffee;-4.51;1755.87;4.65;1.47;6;66.46;15.19;10.68;92.23;Drought-resistant Crops;392.22
2016;Nigeria;North West;Cotton;3.55;228.6;10.36;2.457;4;25.52;37.78;83.93;87.96;Drought-resistant Crops;983.44
2016;Australia;New South Wales;Barley;-0.98;1148.11;25.7;864;1;67.17;38.83;36.62;49.0;Drought-resistant Crops;194.53
2022;Australia;New South Wales;Rice;-2.88;1431.14;18.01;1.431;0;98.49;44.6;40.76;72.1;Water Management;620.28
2020;Australia;Victoria;Cotton;16.47;2884.25;26.14;2.3400000000000003;9;95.12;28.99;9.88;98.91;Water Management;670.08
2020;Russia;Central;Wheat;6.87;862.59;20.69;0.5040000000000001;9;77.21;32.33;65.93;98.62;No Adaptation;176.62
2018;Australia;New South Wales;Barley;29.97;953.92;27.56;1.845;5;30.04;13.32;34.79;37.5;No Adaptation;800.01
2016;Russia;Siberian;Corn;25.74;2239.72;14.77;1.11;0;31.58;32.01;82.38;92.0;No Adaptation;168.19
2018;Brazil;South;Soybeans;11.29;1939.07;28.44;2.952;7;79.37;14.76;48.85;34.6;Water Management;381.8
2020;Brazil;North;Coffee;9.06;285.16;24.93;2.583;0;20.69;33.14;66.98;34.06;Drought-resistant Crops;707.91
2022;China;South;Fruits;22.39;2280.55;22.39;0.9450000000000001;1;93.29;25.57;38.23;39.24;Water Management;468.18
2018;Brazil;North;Wheat;14.28;2994.39;18.02;1.4580000000000002;4;72.3;44.09;98.45;66.42;Drought-resistant Crops;185.77
2020;Russia;Northwestern;Rice;30.87;2880.95;22.8;1.872;0;86.7;17.68;32.13;47.81;Organic Farming;497.23
2014;Australia;Queensland;Cotton;5.32;1259.43;25.95;549;8;71.35;26.86;84.77;96.17;Water Management;147.57
2018;Brazil;Southeast;Rice;16.64;797.11;13.85;2.97;4;47.82;16.5;62.3;58.31;Drought-resistant Crops;1184.56
2018;Nigeria;North West;Cotton;10.03;1795.86;29.8;3.384;10;47.97;45.99;43.84;85.43;Organic Farming;955.03
2024;Brazil;South;Coffee;-3.99;1537.1;10.85;0.72;8;93.0;30.97;58.53;64.58;No Adaptation;104.64
2020;Brazil;Southeast;Vegetables;32.93;983.43;6.18;2.27;10;55.38;21.64;55.34;86.15;Drought-resistant Crops;801.43
2014;Australia;New South Wales;Corn;17.1;836.33;13.24;3.01;6;50.79;21.82;54.34;38.87;Drought-resistant Crops;646.11
2016;China;South;Barley;17.09;1612.28;16.13;2.745;4;13.78;21.81;76.04;70.46;Organic Farming;1120.22
2016;Nigeria;North West;Rice;-3.21;2354.09;9.04;1.67;9;66.07;34.12;35.61;98.57;Organic Farming;257.3
2022;Nigeria;North West;Sugarcane;24.04;1915.16;24.13;3.087;3;70.99;24.4;93.14;50.15;Organic Farming;435.67
2014;Nigeria;South West;Corn;17.56;2646.14;11.55;4.03;4;31.52;37.8;48.16;88.84;No Adaptation;1720.77
2024;China;South;Corn;11.18;2871.25;15.95;2.367;4;21.79;23.8;25.08;82.93;No Adaptation;1062.7
2014;Australia;Western Australia;Wheat;13.47;2132.82;12.9;2.04;10;53.37;33.33;63.27;85.47;Organic Farming;821.89
2016;Brazil;South;Sugarcane;28.79;1722.96;2.61;3.89;7;85.81;12.8;19.66;36.86;Water Management;1431.54
2018;USA;Midwest;Fruits;12.39;1018.74;26.64;1.755;8;99.79;16.1;83.78;66.82;No Adaptation;795.7
2020;China;South;Soybeans;6.71;2395.94;28.0;2.52;3;28.23;14.28;76.12;99.14;Drought-resistant Crops;1128.89
2022;China;South;Rice;14.72;2519.85;17.57;3.204;9;24.0;24.15;33.03;93.21;No Adaptation;1275.18
2020;Nigeria;North Central;Cotton;-3.18;1365.68;24.43;1.665;0;99.11;28.93;6.44;66.59;No Adaptation;205.52
2016;Australia;Western Australia;Fruits;33.05;1909.78;20.36;2.367;10;30.2;4.88;39.33;66.58;Drought-resistant Crops;988.06
2016;Nigeria;South East;Cotton;29.7;2491.86;6.26;2.73;1;51.77;47.42;54.39;55.8;Drought-resistant Crops;391.4
2018;USA;Northeast;Cotton;27.28;1518.57;12.51;3.43;8;98.3;24.49;13.71;38.94;No Adaptation;642.36
2014;Russia;Northwestern;Corn;27.76;1033.54;19.56;1.143;10;10.73;18.44;13.89;54.29;Water Management;555.33
2024;Australia;Victoria;Coffee;14.33;1179.71;16.01;2.295;3;70.54;33.2;95.09;98.05;Drought-resistant Crops;310.53
2022;Nigeria;South East;Corn;8.69;697.11;12.12;1.92;4;34.57;23.4;77.99;68.41;No Adaptation;591.01
2022;USA;South;Vegetables;-4.84;2878.56;3.1;1.92;6;51.2;45.76;84.38;46.41;Drought-resistant Crops;606.77
2014;Australia;New South Wales;Vegetables;12.56;1065.76;7.35;1.51;9;59.13;7.96;37.86;74.74;Drought-resistant Crops;715.44
2022;Australia;Queensland;Corn;11.6;1285.08;5.87;4.46;2;94.3;41.79;44.49;96.89;Crop Rotation;1726.34
2022;China;Central;Rice;7.08;977.07;19.65;1.539;7;63.15;10.82;49.52;61.35;Water Management;440.34
2016;Nigeria;South West;Fruits;19.64;2806.55;11.07;3.72;10;10.97;47.53;36.41;60.34;Organic Farming;566.39
2018;Russia;Siberian;Vegetables;9.04;1094.43;20.74;1.395;8;28.72;28.96;36.96;60.16;No Adaptation;538.81
2024;Australia;Queensland;Sugarcane;16.88;2470.62;28.58;4.1850000000000005;10;73.91;24.58;74.84;73.06;Organic Farming;1275.72
2020;USA;West;Corn;0.48;2394.76;16.09;1.296;1;90.73;11.71;23.63;58.25;Drought-resistant Crops;397.62
2020;China;North;Wheat;-0.99;696.4;29.09;0.7020000000000001;9;12.81;5.89;37.54;33.01;Crop Rotation;283.23
2022;USA;Northeast;Fruits;17.35;244.4;11.03;1.6740000000000002;8;82.57;14.87;34.69;30.61;Water Management;420.25
2020;Nigeria;South West;Sugarcane;19.73;907.69;29.05;1.791;6;95.26;9.79;63.23;94.77;Drought-resistant Crops;552.65
2024;Australia;Queensland;Cotton;33.56;1174.87;6.51;0.81;5;29.35;25.2;78.95;80.03;Drought-resistant Crops;277.69
2022;China;Central;Cotton;32.39;1492.1;15.18;3.294;5;17.35;48.2;67.66;94.83;No Adaptation;1364.45
2016;Brazil;South;Corn;14.76;631.73;19.85;2.637;5;57.57;18.52;30.93;55.02;Crop Rotation;714.22
2022;China;East;Vegetables;23.38;2772.27;9.77;3.2;9;47.24;20.05;72.08;90.0;Drought-resistant Crops;1592.4
2016;USA;South;Soybeans;17.84;1378.85;20.58;2.853;8;12.61;30.98;32.0;82.5;No Adaptation;863.03
2018;China;North;Soybeans;32.46;837.56;1.07;0.86;3;87.34;8.92;20.84;31.5;Water Management;206.07
2024;China;Central;Soybeans;-1.58;1080.12;5.63;1.61;8;49.41;19.84;53.29;83.77;Crop Rotation;678.37
2020;Russia;Volga;Barley;20.76;1670.58;8.18;2.75;2;62.57;1.08;76.05;31.41;Water Management;1354.47
2024;Brazil;Northeast;Wheat;15.6;2099.42;22.36;1.7009999999999998;0;88.51;7.04;0.98;65.31;Organic Farming;709.49
2018;Australia;Victoria;Fruits;21.77;399.71;18.51;2.493;6;26.43;20.41;35.36;92.79;Crop Rotation;1173.65
2022;Australia;Queensland;Coffee;-2.36;2257.09;8.8;1.81;2;54.53;44.37;91.34;86.28;Organic Farming;204.72
2014;Russia;Central;Wheat;34.63;1800.93;14.49;3.91;2;64.19;3.62;21.15;86.54;Drought-resistant Crops;1890.71
2016;Brazil;North;Wheat;26.22;268.1;6.47;3.4379999999999997;1;39.36;0.97;79.5;85.02;Organic Farming;775.7
2014;China;South;Soybeans;7.25;772.7;16.37;2.493;6;85.36;1.47;13.85;85.04;Drought-resistant Crops;430.6
2014;China;East;Cotton;29.57;2871.61;29.41;1.512;2;18.56;35.02;22.32;65.2;Organic Farming;209.76
2020;USA;Northeast;Rice;-0.02;1175.62;28.16;1.899;6;65.45;41.88;96.79;86.26;Organic Farming;302.58
2016;Brazil;North;Wheat;1.1;1349.64;2.64;0.59;10;20.72;36.69;49.03;93.72;No Adaptation;87.99
2020;USA;West;Corn;29.55;2463.41;2.43;2.94;9;52.76;42.85;22.12;90.83;Water Management;1297.75
2024;Australia;New South Wales;Sugarcane;30.48;1413.98;19.24;2.259;9;62.04;0.87;13.89;40.57;Drought-resistant Crops;842.21
2024;China;South;Cotton;32.46;1339.27;13.36;1.16;5;76.19;4.23;98.66;95.7;Organic Farming;204.11
2020;Russia;Northwestern;Sugarcane;5.96;468.59;24.24;2.3129999999999997;1;56.87;46.02;90.1;49.73;No Adaptation;1000.45
2014;Australia;Western Australia;Coffee;19.47;1972.06;8.63;3.51;9;65.27;31.01;77.99;73.98;Crop Rotation;560.87
2018;Russia;Northwestern;Fruits;23.21;2446.01;9.55;1.71;10;91.04;5.26;76.3;34.31;Crop Rotation;447.5
2014;Nigeria;North West;Sugarcane;11.5;535.11;29.97;1.449;2;41.03;45.48;45.59;60.17;Drought-resistant Crops;199.48
2024;Australia;New South Wales;Soybeans;7.18;1445.99;21.67;648;5;35.96;25.24;81.33;94.2;Drought-resistant Crops;279.91
2016;Russia;Siberian;Barley;8.89;1420.92;17.71;2.646;9;37.23;28.99;38.77;81.56;Drought-resistant Crops;317.35
2016;Nigeria;South West;Fruits;-2.96;602.78;22.23;0.8280000000000001;4;81.13;0.03;9.26;68.89;No Adaptation;335.21
2022;China;South;Soybeans;-3.35;1009.48;5.28;0.84;9;79.83;9.9;86.86;44.87;Organic Farming;257.95
2018;China;South;Barley;10.62;1993.27;23.16;1.9620000000000002;3;86.68;7.09;97.59;94.63;No Adaptation;494.83
2018;USA;South;Fruits;20.94;2239.06;16.86;1.836;8;28.79;1.72;0.58;35.38;Organic Farming;591.88
2016;China;North;Sugarcane;10.83;2769.14;11.07;4.45;2;31.16;49.82;28.56;86.13;Drought-resistant Crops;521.94
2018;Nigeria;South West;Vegetables;28.06;1754.85;12.95;1.4;7;67.9;43.04;37.95;77.06;No Adaptation;526.92
2022;USA;Midwest;Sugarcane;1.13;2695.88;12.28;1.7;9;96.51;0.91;76.57;94.66;Organic Farming;678.06
2014;USA;Northeast;Sugarcane;-1.75;2438.63;3.8;1.43;4;70.34;5.74;63.21;94.38;Water Management;660.82
2016;Nigeria;North West;Vegetables;29.56;672.54;26.47;2.781;2;14.17;46.63;19.41;30.06;Drought-resistant Crops;500.05
