climate_change_impact_on_agriculture_2024;;;;;;;;;;
Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Soil_Health_Index
2022;China;East;Rice;-4.36;2737.03;23.84;1.764;4;67.88;33.67
2024;Nigeria;South East;Coffee;24.81;1723.91;May.87;0.92;0;30.66;65.8
2014;Brazil;Northeast;Corn;22.Mar;1043.98;Tem.75;Oca.49;1;14.68;32.07
2020;China;East;Coffee;9.May;999.94;Tem.17;Şub.64;6;39.7;67.43
2018;Australia;Queensland;Rice;34.83;606.55;20.19;Mar.15;8;92.43;82.04
2024;Brazil;Southeast;Barley;26.91;1618.59;23.Nis;1.395;6;14.46;66.1
2014;Russia;Siberian;Vegetables;25.82;542.18;Ağu.97;Oca.51;2;86.06;70.91
2020;Brazil;South;Rice;15.Şub;1327.56;Ağu.37;4.May;7;43.12;45.01
2016;Brazil;Northeast;Wheat;14.85;2172.68;13.53;Mar.92;0;18.74;70.63
2016;USA;Northeast;Fruits;28.38;1918.25;13.56;Oca.25;8;66.66;69.64
2016;Brazil;Southeast;Soybeans;Şub.47;530.53;Oca.58;Oca.98;0;73.21;59.88
2018;USA;Northeast;Wheat;-2.39;1662.98;Mar.45;Oca.29;2;44.76;94.76
2020;Russia;Volga;Sugarcane;30.59;2783.48;26.17;2.106;9;45.59;43.38
2024;Russia;Northwestern;Coffee;27.Nis;1520.08;Kas.59;Şub.31;10;83.63;85.23
2024;Russia;Volga;Barley;22.Eyl;1837.32;17.Haz;2.421;3;40.41;34.91
2020;China;Central;Coffee;-0.42;2258.71;21.42;549;6;98.32;57.37
2020;Nigeria;South East;Vegetables;24.Oca;2667.3;21.98;30.690.000.000.000.000;0;57.26;61.27
2018;China;Central;Corn;-0.33;2965.94;Ağu.56;0.73;6;50.02;43.99
2016;Nigeria;South East;Corn;Tem.34;879.77;Haz.87;1.Şub;4;68.48;56.71
2024;Brazil;Northeast;Wheat;17.Nis;450.84;Oca.47;4.401;2;66.74;91.68
2020;USA;Midwest;Rice;Nis.66;630.53;Ağu.77;Oca.65;9;32.22;60.68
2024;Australia;Queensland;Vegetables;Ağu.67;2363.56;19.39;1.629;7;42.89;73.74
2018;Russia;Siberian;Rice;18.18;1881.44;19.32;3.303;0;49.07;70.43
2020;China;East;Vegetables;13.85;1643.19;Ara.73;Mar.43;0;93.72;44.18
2018;Australia;New South Wales;Sugarcane;33.16;826.8;23.71;2.286;2;69.03;33.07
2024;Australia;Victoria;Vegetables;Ara.83;362.02;1.Oca;Şub.43;6;40.43;95.31
2020;China;South;Coffee;Ara.98;252.42;23.64;1.836;3;61.37;76.05
2024;Australia;Victoria;Rice;27.19;531.93;19.76;2.475;4;96.79;87.6
2024;Nigeria;South East;Rice;20.49;2854.67;May.16;Oca.48;7;31.6;50.17
2022;USA;South;Sugarcane;9.Haz;204.89;23.68;1.845;4;79.33;38.75
2018;Brazil;North;Vegetables;19.46;2772.97;Mar.69;Oca.75;8;97.42;97.73
2018;Nigeria;South East;Vegetables;24.51;1066.04;14.56;Mar.53;7;71.94;36.5
2018;Russia;Siberian;Cotton;30.41;2515.68;14.Ağu;2.Haz;9;57.75;46.03
2022;China;East;Wheat;-0.33;1478.74;Eyl.55;0.57;2;36.9;88.87
2020;China;North;Fruits;29.14;1669.05;24.17;24.480.000.000.000.000;2;55.35;78.02
2018;Brazil;North;Corn;Şub.83;2647.85;Ağu.95;0.71;8;37.23;81.11
2020;Nigeria;South West;Corn;25.66;2212.03;27.86;Şub.61;5;15.58;92.06
2018;China;North;Coffee;20.93;371.19;13.46;24.480.000.000.000.000;4;47.01;53.7
2020;Australia;Queensland;Corn;22.18;862.86;May.27;Oca.13;9;76.0;80.0
2018;Australia;Victoria;Coffee;17.46;2750.05;Eyl.97;Şub.54;8;83.62;50.36
2024;Russia;Northwestern;Fruits;34.17;2767.86;22.94;2.637;2;32.42;87.36
2022;Australia;Queensland;Soybeans;31.64;2941.85;14.13;1.Haz;7;40.79;39.69
2014;Nigeria;South West;Fruits;26.Nis;2138.14;4.May;Oca.91;1;62.56;46.42
2020;Australia;Victoria;Vegetables;-0.78;1577.21;Tem.21;1.Eyl;1;71.91;43.3
2020;USA;West;Fruits;17.74;419.63;25.35;2.205;10;45.91;40.1
2016;China;Central;Rice;22.Oca;2740.6;Tem.59;Mar.68;4;93.79;30.71
2020;China;North;Vegetables;17.Eyl;1863.65;Eyl.49;Nis.94;9;99.48;62.42
2014;USA;Midwest;Barley;Tem.74;1710.33;17.25;0.5760000000000001;7;79.74;39.35
2016;USA;South;Cotton;Ağu.95;1774.36;0.76;Oca.92;4;55.76;62.06
2016;Brazil;North;Corn;Haz.46;1370.33;27.77;1.845;10;68.13;39.33
2018;Russia;Siberian;Corn;13.66;848.46;Ara.17;Nis.99;8;93.6;59.16
2022;Australia;Western Australia;Wheat;Nis.27;1077.63;5.Tem;0.95;9;56.0;57.34
2022;Brazil;Northeast;Barley;0.69;2963.56;29.39;Oca.26;9;23.Ağu;63.96
2014;China;North;Fruits;14.65;2143.88;1.Haz;Şub.47;2;61.92;70.82
2016;Australia;Victoria;Corn;-0.27;2838.2;Ara.44;Oca.43;10;71.81;89.36
2024;Australia;Queensland;Soybeans;20.22;2998.47;Ara.81;Mar.21;1;30.Nis;64.11
2016;Nigeria;South East;Wheat;28.54;1801.23;Şub.67;Şub.13;2;38.2;52.66
2022;Brazil;North;Rice;Eki.37;539.92;0.85;Mar.21;6;37.46;98.29
2014;Australia;Victoria;Wheat;20.23;1578.95;Nis.73;2.Şub;0;65.41;75.29
2020;China;East;Wheat;32.28;298.17;Ara.96;2.556;7;65.98;66.74
2022;Nigeria;South East;Cotton;0.07;2892.14;17.31;0.6120000000000001;4;82.47;68.0
2022;Australia;Victoria;Wheat;13.99;2473.53;26.Eyl;2.385;1;42.14;39.55
2014;China;South;Coffee;0.28;1547.72;Eki.25;Şub.76;10;64.27;75.36
2022;Australia;Victoria;Corn;-3.4;1652.81;25.75;1.791;0;55.33;48.37
2024;Nigeria;South East;Vegetables;-4.06;1174.19;Haz.43;Oca.22;7;71.74;40.45
2016;Nigeria;South West;Corn;33.74;2251.09;29.66;1.017;2;50.45;30.84
2016;Nigeria;North Central;Fruits;28.65;2348.9;Nis.94;Oca.21;6;95.47;69.16
2020;Russia;Siberian;Barley;-2.97;947.32;26.15;26.910.000.000.000.000;9;21.91;85.94
2020;China;Central;Fruits;Eki.68;1403.68;11.May;Nis.82;6;33.83;78.45
2020;Russia;Central;Rice;17.35;236.06;Ağu.32;2.619;6;Eki.57;85.85
2024;China;North;Sugarcane;-4.04;909.43;Mar.46;Oca.71;8;25.43;63.48
2024;Nigeria;South East;Rice;-2.55;1906.34;Ara.95;Oca.61;6;40.92;84.86
2014;Brazil;Northeast;Rice;Ara.75;1168.22;Oca.33;Nis.42;5;32.24;62.28
2022;Australia;Queensland;Wheat;31.78;1165.89;0.9;Şub.91;9;14.Kas;93.57
2016;Nigeria;South West;Vegetables;May.38;269.88;8.Kas;2.Tem;10;46.62;42.24
2014;Russia;Northwestern;Coffee;14.49;1884.53;8.0;Şub.73;5;73.07;87.07
2020;Australia;Victoria;Vegetables;7.May;2313.43;21.Kas;0.81;8;80.27;65.35
2014;Australia;Queensland;Fruits;30.71;1940.83;Eki.41;Şub.69;6;25.59;97.15
2018;Nigeria;North West;Fruits;0.13;2621.58;17.75;22.680.000.000.000.000;2;32.43;51.31
2018;Nigeria;North Central;Corn;33.58;1025.63;Kas.84;Mar.96;1;79.18;99.32
2024;Russia;Volga;Fruits;Eyl.59;961.12;0.86;Oca.32;10;75.73;49.95
2020;Brazil;Southeast;Wheat;4.Ara;2763.39;26.48;531;5;12.Eyl;66.05
2024;USA;West;Coffee;24.31;651.75;Eki.69;Mar.46;10;99.91;38.74
2016;Australia;New South Wales;Coffee;27.Tem;1310.81;Nis.79;Oca.22;2;76.36;38.74
2022;Nigeria;South West;Wheat;34.69;837.61;Kas.34;Şub.75;10;17.69;90.41
2016;Russia;Northwestern;Wheat;21.17;1573.55;Nis.77;Şub.78;1;78.29;67.5
2020;Australia;Queensland;Soybeans;24.58;1153.19;Ara.58;Mar.93;6;89.65;57.72
2016;Brazil;Northeast;Vegetables;Mar.56;785.72;22.35;2.295;10;89.97;59.68
2022;Australia;New South Wales;Barley;-0.03;330.32;16.18;1.764;3;28.61;97.37
2024;USA;West;Sugarcane;27.Oca;2191.06;Eki.15;Oca.19;4;34.65;53.45
2016;Brazil;South;Soybeans;16.78;1645.28;4.Nis;Şub.57;5;52.91;94.2
2022;Australia;New South Wales;Cotton;0.34;784.24;Ağu.14;Oca.94;3;86.57;33.81
2020;China;Central;Soybeans;Mar.89;2513.37;14.34;Şub.43;6;22.97;40.03
2020;Brazil;South;Corn;27.49;2268.03;17.71;1.314;1;86.78;34.05
2014;Nigeria;South East;Cotton;Kas.77;746.72;Şub.68;Şub.52;8;60.55;55.66
2024;USA;South;Cotton;Ara.76;914.81;26.52;1.611;2;13.22;60.91
2018;USA;Northeast;Rice;23.38;1120.79;Mar.38;Mar.78;0;98.95;39.16
2024;USA;Northeast;Sugarcane;28.85;1736.93;Eki.56;3.Ağu;4;14.57;96.2
2022;Australia;New South Wales;Cotton;13.Ağu;1797.31;29.58;Nis.41;1;87.84;47.93
2024;Russia;Central;Soybeans;Eki.15;1113.45;Kas.82;Oca.94;5;37.11;77.25
2014;China;Central;Rice;28.15;1823.08;14.83;Oca.86;5;52.61;30.77
2014;Australia;Victoria;Soybeans;Ağu.97;2542.62;10.May;Şub.72;7;27.43;97.3
2024;USA;South;Corn;Ağu.89;2323.33;20.52;2.205;1;95.23;50.16
2016;Brazil;North;Corn;24.88;1195.05;Ara.67;Mar.44;0;94.59;65.28
2016;China;North;Cotton;Mar.78;2743.78;Kas.78;1.Mar;6;95.17;94.25
2014;Nigeria;North West;Sugarcane;25.14;311.71;22.Nis;1.611;5;67.93;56.1
2018;Russia;Northwestern;Barley;22.May;2073.63;17.94;1.566;0;56.67;34.74
2022;Nigeria;South East;Soybeans;15.91;203.78;14.18;29.699.999.999.999.900;10;71.71;99.61
2016;China;South;Sugarcane;-1.16;2597.17;Mar.57;0.74;8;39.64;49.93
2024;China;North;Rice;-2.02;2057.49;Ağu.79;Şub.18;1;24.77;86.32
2020;Nigeria;South West;Corn;18.25;2637.61;14.39;Şub.51;1;48.65;74.36
2024;USA;Midwest;Coffee;20.71;1713.58;24.46;2.817;3;60.58;70.2
2016;Russia;Siberian;Vegetables;16.Tem;1457.56;20.96;2.034;7;96.49;34.96
2024;Nigeria;North Central;Rice;Ara.82;940.32;24.64;2.547;3;54.49;65.65
2018;Australia;Queensland;Sugarcane;0.01;2566.96;Nis.87;Oca.43;10;79.08;82.3
2016;Brazil;Southeast;Cotton;Haz.42;572.28;Eyl.91;2.Oca;6;45.78;42.92
2016;Russia;Volga;Soybeans;Şub.28;1678.37;24.86;2.394;3;66.77;43.55
2016;Russia;Siberian;Soybeans;23.38;1923.78;25.0;1.Ağu;6;42.86;36.64
2018;China;East;Vegetables;Mar.59;2160.69;25.43;2.385;4;80.44;43.42
2020;Nigeria;South West;Sugarcane;28.91;2888.38;Oca.42;Oca.32;8;59.65;49.4
2020;Australia;Western Australia;Cotton;-2.39;1299.45;17.32;2.196;3;81.24;54.94
2018;Russia;Volga;Cotton;0.3;2977.11;0.75;Oca.83;5;74.52;69.04
2018;Australia;Queensland;Coffee;34.5;1521.65;14.66;0.83;3;71.56;52.13
2022;USA;Northeast;Corn;30.May;2654.69;Mar.93;Oca.54;1;25.16;32.88
2020;Brazil;South;Soybeans;14.74;1324.22;9.Ara;Mar.54;0;26.93;44.91
2024;China;North;Fruits;34.64;2647.19;Nis.52;Şub.79;7;47.16;73.53
2020;Brazil;Southeast;Rice;17.54;708.55;Ağu.74;5.0;9;37.39;36.86
2022;China;Central;Vegetables;Eyl.91;2112.26;16.91;1.899;2;93.16;76.17
2014;Australia;Queensland;Rice;27.85;2947.64;13.44;Mar.31;3;50.5;48.55
2022;Nigeria;South West;Barley;28.63;1178.85;May.81;Mar.15;7;89.56;99.86
2022;USA;Northeast;Sugarcane;27.64;542.79;15.97;1.449;9;48.78;61.35
2016;Nigeria;North Central;Soybeans;Ara.85;356.53;16.87;Şub.79;6;86.03;66.54
2020;Brazil;Northeast;Sugarcane;4.Tem;1688.35;14.38;Oca.61;1;26.Oca;37.12
2018;China;Central;Cotton;15.55;2023.72;Haz.92;Mar.63;7;82.71;34.38
2020;Australia;Victoria;Coffee;24.15;1958.91;Tem.98;Mar.72;6;64.64;97.36
2016;Russia;Volga;Wheat;22.86;2092.03;23.24;Şub.61;3;96.75;92.01
2014;China;North;Coffee;26.57;539.27;Tem.69;Şub.82;3;38.99;53.86
2016;USA;Northeast;Sugarcane;24.58;1067.86;15.Haz;2.709;8;53.82;46.0
2018;Russia;Northwestern;Wheat;31.25;2722.72;20.Haz;864;0;13.56;41.27
2016;China;East;Barley;-3.44;2997.57;20.18;1.197;6;99.98;55.42
